FIPS	NAICS8	DATA
17057	11210004	14002.0000
19145	11211100	12023.0000
19145	11210000	30818.0000
19145	11210003	12031.0000
19145	11212000	8.0000
19145	11210004	18787.0000
38089	11211100	21253.9900
38089	11210000	33352.0000
38089	11210003	21333.0000
38089	11212000	79.0100
38089	11210004	12019.0000
34017	11210000	31.6500
34017	11210004	31.6500
38099	11211100	9825.0000
38099	11210000	18927.0000
38099	11210003	9825.0000
38099	11210004	9102.0000
39079	11211100	5204.0000
39079	11210000	10811.0000
39079	11210003	5486.0000
39079	11212000	282.0000
39079	11210004	5325.0000
48217	11211100	33889.6600
48217	11210000	60770.0000
48217	11210003	35715.0000
48217	11212000	1825.3400
48217	11210004	25055.0000
48417	11211100	15949.0000
48417	11210000	29764.0000
48417	11210003	15949.0000
48417	11210004	13815.0000
08007	11211100	4529.8500
08007	11210000	8487.0000
08007	11210003	4535.0000
08007	11212000	5.1500
08007	11210004	3952.0000
30057	11211100	52285.0000
30057	11210000	80763.0000
30057	11210003	52292.0000
30057	11212000	7.0000
30057	11210004	28471.0000
26071	11211100	556.0000
26071	11210000	957.0000
26071	11210003	556.0000
26071	11210004	401.0000
37155	11211100	3554.0000
37155	11210000	5406.0000
37155	11210003	3558.0000
37155	11212000	4.0000
37155	11210004	1848.0000
45019	11211100	1413.3700
45019	11210000	2246.0000
45019	11210003	1419.0000
45019	11212000	5.6300
45019	11210004	827.0000
45033	11211100	865.0900
45033	11210000	1603.0000
45033	11210003	901.0000
45033	11212000	35.9100
45033	11210004	702.0000
46043	11211100	15449.0000
46043	11210000	44353.0000
46043	11210003	15759.0000
46043	11212000	310.0000
46043	11210004	28594.0000
48149	11211100	58851.2800
48149	11210000	96079.0000
48149	11210003	59088.0000
48149	11212000	236.7200
48149	11210004	36991.0000
51177	11211100	4041.0000
51177	11210000	8435.0000
51177	11210003	4052.0000
51177	11212000	11.0000
51177	11210004	4383.0000
13157	11211100	11613.0000
13157	11210000	21826.0000
13157	11210003	11613.0000
13157	11210004	10213.0000
16025	11211100	4219.0000
16025	11210000	5813.0000
16025	11210003	4219.0000
16025	11210004	1594.0000
20169	11211100	11544.3800
20169	11210000	29868.0000
20169	11210003	11705.0000
20169	11212000	160.6200
20169	11210004	18163.0000
12089	11211100	3763.0000
12089	11210000	6324.0000
12089	11210003	4017.0000
12089	11212000	254.0000
12089	11210004	2307.0000
13121	11211100	810.0000
13121	11210000	1437.0000
13121	11210003	838.0000
13121	11212000	28.0000
13121	11210004	599.0000
18097	11211100	135.0700
18097	11210000	229.5800
18097	11210003	140.0000
18097	11212000	4.9300
18097	11210004	89.5800
38021	11211100	24005.0000
38021	11210000	52428.0000
38021	11210003	24005.0000
38021	11210004	28423.0000
47067	11211100	8566.0000
47067	11210000	17143.0000
47067	11210003	8590.0000
47067	11212000	24.0000
47067	11210004	8553.0000
08057	11211100	14207.0000
08057	11210000	22758.0000
08057	11210003	14207.0000
08057	11210004	8551.0000
48255	11211100	29289.0000
48255	11210000	47296.0000
48255	11210003	29289.0000
48255	11210004	18007.0000
06013	11211100	11292.3400
06013	11210000	28807.0000
06013	11210003	11304.0000
06013	11212000	11.6600
06013	11210004	17503.0000
17051	11211100	4940.0000
17051	11210000	15272.0000
17051	11210003	6410.0000
17051	11212000	1470.0000
17051	11210004	8862.0000
